Artiste,Annee,Album,Url,Style
Post Malone,2019,Hollywood's Bleeding,https://www.azlyrics.com/lyrics/postmalone/iknow.html,rap
Slipknot,1996,Mate.Feed.Kill.Repeat,https://www.azlyrics.com/lyrics/slipknot/onlyone.html,metal
DREAMERS,2018,LAUNCH,https://www.azlyrics.com/lyrics/dreamers/karma.html,Rock/Alternatif
Bring Me The Horizon,2004,The Bedroom Sessions,https://www.azlyrics.com/lyrics/bringmethehorizon/whowantsflowerswhenyouredeadnobody.html,metal
Mac Miller,2014,Faces,https://www.azlyrics.com/lyrics/macmiller/wedding.html,rap
Eminem,2002,The Eminem Show,https://www.azlyrics.com/lyrics/eminem/business.html,rap
Mac Miller,2012,Macadelic,https://www.azlyrics.com/lyrics/macmiller/fightthefeeling.html,rap
Mac Miller,2010,K.I.D.S.,https://www.azlyrics.com/lyrics/macmiller/trafficinthesky.html,rap
Eminem,2005,Curtain Call: The Hits,https://www.azlyrics.com/lyrics/eminem/shitonyou.html,rap
Slipknot,2004,Vol 3: (The Subliminal Verses),https://www.azlyrics.com/lyrics/slipknot/vermilion.html,metal
Motionless in White,2012,Infamous,https://www.azlyrics.com/lyrics/motionlessinwhite/sinematic.html,Rock\Alternatif
Falling In Reverse,2011,The Drug In Me Is You,https://www.azlyrics.com/lyrics/fallinginreverse/goodgirlsbadguys.html,metal
Justin Bieber,2011,Never Say Never - The Remixes,https://www.azlyrics.com/lyrics/justinbieber/somebodytoloveremix.html,pop
Billie Eilish,2019,"When We All Fall Asleep, Where Do We Go?",https://www.azlyrics.com/lyrics/billieeilish/iwishyouweregay.html,pop
Mac Miller,2009,The Jukebox: Prelude To Class Clown,https://www.azlyrics.com/lyrics/macmiller/getitonthefloor.html,rap
Post Malone,2019,Hollywood's Bleeding,https://www.azlyrics.com/lyrics/postmalone/takewhatyouwant.html,rap
Eminem,2013,The Marshall Mathers LP 2,https://www.azlyrics.com/lyrics/eminem/brainless.html,rap
Mac Miller,2018,Swimming,https://www.azlyrics.com/lyrics/macmiller/conversationpt1.html,rap
Slipknot,1999,Slipknot,https://www.azlyrics.com/lyrics/slipknot/tatteredandtorn.html,metal
Bring Me The Horizon,2015,That's The Spirit,https://www.azlyrics.com/lyrics/bringmethehorizon/drown.html,metal
Eminem,2003,Straight From The Lab,https://www.azlyrics.com/lyrics/eminem/doerayme.html,rap
Mac Miller,2013,Watching Movies With The Sound Off,https://www.azlyrics.com/lyrics/macmiller/goosebumpz.html,rap
Eminem,2009,Relapse: Refill,https://www.azlyrics.com/lyrics/eminem/musicbox.html,rap
Eminem,1999,Slim Shady LP,https://www.azlyrics.com/lyrics/eminem/myfault.html,rap
