Artiste,Annee,Album,Url,Style
Post Malone,2016,August 26,https://www.azlyrics.com/lyrics/postmalone/gitwitu.html,rap
Bring Me The Horizon,2006,Count Your Blessings,https://www.azlyrics.com/lyrics/bringmethehorizon/eyeless.html,rock
Motionless in White,2008,When Love Met Destruction,https://www.azlyrics.com/lyrics/motionlessinwhite/weonlycomeoutatnight.html,rock
Bring Me The Horizon,2004,The Bedroom Sessions,https://www.azlyrics.com/lyrics/bringmethehorizon/offtheheezay.html,rock
Slipknot,1996,Mate.Feed.Kill.Repeat,https://www.azlyrics.com/lyrics/slipknot/confessions.html,rock
Mac Miller,2011,Blue Slide Park,https://www.azlyrics.com/lyrics/macmiller/panights.html,rap
Mac Miller,2014,Faces,https://www.azlyrics.com/lyrics/macmiller/colorsandshapes.html,rap
Justin Bieber,2012,Believe,https://www.azlyrics.com/lyrics/justinbieber/shedontlikethelights.html,pop
Post Malone,2019,Hollywood's Bleeding,https://www.azlyrics.com/lyrics/postmalone/allergic.html,rap
Justin Bieber,2015,Purpose,https://www.azlyrics.com/lyrics/justinbieber/whatdoyoumean.html,pop
Falling In Reverse,2015,Just Like You,https://www.azlyrics.com/lyrics/fallinginreverse/myheartstoblame.html,rock
DREAMERS,2016,This Album Does Not Exist,https://www.azlyrics.com/lyrics/dreamers/drugs.html,rock
Eminem,2005,Curtain Call: The Hits,https://www.azlyrics.com/lyrics/eminem/cleaninoutmycloset.html,rap
Bring Me The Horizon,2019,Music to listen to~dance to~blaze to~pray to~feed to~sleep to~talk to~grind to~trip to~breathe to~help to~hurt to~scroll to~roll to~love to~hate to~learn Too~plot to~play to~be to~feel to~breed to~sweat to~dream to~hide to~live to~die to~GO TO,https://www.azlyrics.com/lyrics/bringmethehorizon/undergroundbigheadfulofhyena.html,rock
Eminem,2006,Eminem Presents The Re-Up,https://www.azlyrics.com/lyrics/eminem/jimmycrackcorn.html,rap
Mac Miller,2012,Macadelic,https://www.azlyrics.com/lyrics/macmiller/luckyassbitch.html,rap
Post Malone,2018,Beerbongs &amp; Bentleys,https://www.azlyrics.com/lyrics/postmalone/stay.html,rap
Slipknot,2004,Vol 3: (The Subliminal Verses),https://www.azlyrics.com/lyrics/slipknot/pulseofthemaggots.html,rock
Bring Me The Horizon,2019,amo,https://www.azlyrics.com/lyrics/bringmethehorizon/iapologiseifyoufeelsomething.html,rock
Eminem,2018,Kamikaze,https://www.azlyrics.com/lyrics/eminem/venommusicfromthemotionpicture.html,rap
Falling In Reverse,2013,Fashionably Late,https://www.azlyrics.com/lyrics/fallinginreverse/borntolead.html,rock
Falling In Reverse,2017,Coming Home,https://www.azlyrics.com/lyrics/fallinginreverse/imbadatlife.html,rock
Justin Bieber,2015,Purpose,https://www.azlyrics.com/lyrics/justinbieber/markmywords.html,pop
Slipknot,1999,Slipknot,https://www.azlyrics.com/lyrics/slipknot/nolife.html,rock
DREAMERS,2019,LAUNCH FLY LAND,https://www.azlyrics.com/lyrics/dreamers/takemehome.html,rock
Bring Me The Horizon,2004,The Bedroom Sessions,https://www.azlyrics.com/lyrics/bringmethehorizon/medusa.html,rock
Justin Bieber,2010,My World 2.0,https://www.azlyrics.comtps://www.azlyrics.com/lyrics/seankingston/eeniemeenie.html,pop
Eminem,1999,Slim Shady LP,https://www.azlyrics.com/lyrics/eminem/astheworldturns.html,rap
Mac Miller,2012,Macadelic,https://www.azlyrics.com/lyrics/macmiller/ignorant.html,rap
Slipknot,2004,Vol 3: (The Subliminal Verses),https://www.azlyrics.com/lyrics/slipknot/theblisterexists.html,rock
Bring Me The Horizon,2004,This Is What The Edge Of Your Seat Was Made For,https://www.azlyrics.com/lyrics/bringmethehorizon/whowantsflowerswhenyouredeadnobody.html,rock
Motionless in White,2012,Infamous,https://www.azlyrics.com/lyrics/motionlessinwhite/puppets2therain.html,rock
Mac Miller,2011,"I Love Life, Thank You",https://www.azlyrics.com/lyrics/macmiller/allthis.html,rap
Justin Bieber,2012,Believe,https://www.azlyrics.com/lyrics/justinbieber/dieinyourarms.html,pop
Eminem,2002,The Eminem Show,https://www.azlyrics.com/lyrics/eminem/business.html,rap
Justin Bieber,2010,My World 2.0,https://www.azlyrics.com/lyrics/justinbieber/baby.html,pop
Slipknot,2008,All Hope Is Gone,https://www.azlyrics.com/lyrics/slipknot/gehenna.html,rock
Eminem,2017,Revival,https://www.azlyrics.com/lyrics/eminem/castle.html,rap
Motionless in White,2014,Reincarnate,https://www.azlyrics.com/lyrics/motionlessinwhite/contemptress.html,rock
Eminem,1999,Slim Shady LP,https://www.azlyrics.com/lyrics/eminem/getyoumad.html,rap
Mac Miller,2018,Swimming,https://www.azlyrics.com/lyrics/macmiller/whatstheuse.html,rap
Eminem,2000,The Marshall Mathers LP,https://www.azlyrics.com/lyrics/eminem/bitchpleaseii.html,rap
Justin Bieber,2012,Believe,https://www.azlyrics.com/lyrics/justinbieber/outoftowngirl.html,pop
Post Malone,2019,Hollywood's Bleeding,https://www.azlyrics.com/lyrics/postmalone/imgonnabe.html,rap
Eminem,2006,Eminem Presents The Re-Up,https://www.azlyrics.com/lyrics/eminem/wereback.html,rap
Post Malone,2018,Beerbongs &amp; Bentleys,https://www.azlyrics.com/lyrics/postmalone/jonestowninterlude.html,rap
Mac Miller,2009,The Jukebox: Prelude To Class Clown,https://www.azlyrics.com/lyrics/macmiller/intro.html,rap
Eminem,2009,Relapse: Refill,https://www.azlyrics.com/lyrics/eminem/forever.html,rap
Justin Bieber,2011,Never Say Never - The Remixes,https://www.azlyrics.com/lyrics/justinbieber/neversaynever.html,pop
Slipknot,2019,We Are Not Your Kind,https://www.azlyrics.com/lyrics/slipknot/mypain.html,rock
Mac Miller,2014,Faces,https://www.azlyrics.com/lyrics/macmiller/rain.html,rap
Eminem,1999,Slim Shady LP,https://www.azlyrics.com/lyrics/eminem/badmeetsevil.html,rap
Motionless in White,2010,Creatures,https://www.azlyrics.com/lyrics/motionlessinwhite/countchoculitis.html,rock
Billie Eilish,2019,"When We All Fall Asleep, Where Do We Go?",https://www.azlyrics.com/lyrics/billieeilish/comeoutandplay.html,pop
Slipknot,2004,Vol 3: (The Subliminal Verses),https://www.azlyrics.com/lyrics/slipknot/prelude30.html,rock
Mac Miller,2009,The Jukebox: Prelude To Class Clown,https://www.azlyrics.com/lyrics/macmiller/whatupcousin.html,rap
Eminem,2003,Straight From The Lab,https://www.azlyrics.com/lyrics/eminem/monkeyseemonkeydo.html,rap
Post Malone,2019,Hollywood's Bleeding,https://www.azlyrics.com/lyrics/postmalone/enemies.html,rap
Justin Bieber,2020,Changes,https://www.azlyrics.com/lyrics/justinbieber/yummy.html,pop
Eminem,2010,Recovery,https://www.azlyrics.com/lyrics/eminem/25tolife.html,rap
Slipknot,2019,We Are Not Your Kind,https://www.azlyrics.com/lyrics/slipknot/unsainted.html,rock
Falling In Reverse,2011,The Drug In Me Is You,https://www.azlyrics.com/lyrics/fallinginreverse/raisedbywolves.html,rock
DREAMERS,2016,This Album Does Not Exist,https://www.azlyrics.com/lyrics/dreamers/lastnightonearth.html,rock
Justin Bieber,2015,Purpose,https://www.azlyrics.com/lyrics/justinbieber/loveyourself.html,pop
Mac Miller,2018,Swimming,https://www.azlyrics.com/lyrics/macmiller/dunno.html,rap
DREAMERS,2016,You Are Here,https://www.azlyrics.com/lyrics/dreamers/nevertoolatetodance.html,rock
Bring Me The Horizon,2013,Sempiternal,https://www.azlyrics.com/lyrics/bringmethehorizon/thehouseofwolves.html,rock
Slipknot,2008,All Hope Is Gone,https://www.azlyrics.com/lyrics/slipknot/allhopeisgone.html,rock
Bring Me The Horizon,2019,amo,https://www.azlyrics.com/lyrics/bringmethehorizon/freshbruises.html,rock
Mac Miller,2013,Delusional Thomas,https://www.azlyrics.com/lyrics/macmiller/bill.html,rap
Eminem,2005,Curtain Call: The Hits,https://www.azlyrics.com/lyrics/eminem/intro.html,rap
Eminem,2006,Eminem Presents The Re-Up,https://www.azlyrics.com/lyrics/eminem/shakethatremix.html,rap
Bring Me The Horizon,2008,Suicide Season,https://www.azlyrics.com/lyrics/bringmethehorizon/chelseasmile.html,rock
Slipknot,1996,Mate.Feed.Kill.Repeat,https://www.azlyrics.com/lyrics/slipknot/gently-1996.html,rock
Justin Bieber,2011,Under The Mistletoe,https://www.azlyrics.com/lyrics/justinbieber/alliwantforchristmasisyou.html,pop
Motionless in White,2012,Infamous,https://www.azlyrics.com/lyrics/motionlessinwhite/syntheticlove.html,rock
Mac Miller,2013,Watching Movies With The Sound Off,https://www.azlyrics.com/lyrics/macmiller/birdcall.html,rap
Eminem,2004,Encore,https://www.azlyrics.com/lyrics/eminem/finalthoughtskit.html,rap
Mac Miller,2009,The Jukebox: Prelude To Class Clown,https://www.azlyrics.com/lyrics/macmiller/jsonmyfeet.html,rap
Eminem,2005,Curtain Call: The Hits,https://www.azlyrics.com/lyrics/eminem/stan.html,rap
Post Malone,2016,Stoney,https://www.azlyrics.com/lyrics/postmalone/feel.html,rap
Justin Bieber,2013,Believe Acoustic,https://www.azlyrics.com/lyrics/justinbieber/bealrightacousticversion.html,pop
Eminem,2013,The Marshall Mathers LP 2,https://www.azlyrics.com/lyrics/eminem/headlights.html,rap
